Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"","",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
1,"11/6/2019","33.14","18.82","Circular","44.42","44.42","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"46.3400","2.3136","0.2338"
"46.4800","2.3207","0.2340"
"46.6200","2.3277","0.2342"
"46.7600","2.3347","0.2342"
"46.9000","2.3418","0.2344"
"47.0400","2.3487","0.2340"
"47.1800","2.3558","0.2341"
"47.3200","2.3628","0.2339"
"47.4600","2.3697","0.2340"
"47.6000","2.3767","0.2340"
"47.7400","2.3837","0.2343"
"47.8800","2.3907","0.2341"
"48.0200","2.3978","0.2343"
"48.1600","2.4046","0.2340"
"48.3000","2.4117","0.2339"
"48.4400","2.4187","0.2341"
"48.5800","2.4258","0.2342"
"48.7200","2.4328","0.2342"
"48.8600","2.4396","0.2341"
"49.0000","2.4467","0.2338"
"49.1400","2.4537","0.2342"
"49.2800","2.4607","0.2338"
"49.4200","2.4678","0.2343"
"49.5600","2.4747","0.2340"
"49.7000","2.4818","0.2344"
"49.8400","2.4887","0.2341"
"49.9800","2.4956","0.2341"
"50.1200","2.5027","0.2341"
"50.2600","2.5097","0.2343"
"50.4000","2.5168","0.2343"
"50.5400","2.5238","0.2341"
"50.6800","2.5306","0.2342"
"50.8200","2.5377","0.2343"
"50.9600","2.5448","0.2342"
"51.1000","2.5518","0.2341"
"51.2400","2.5588","0.2344"
"51.3800","2.5656","0.2342"
"51.5200","2.5727","0.2343"
"51.6600","2.5797","0.2345"
"51.8000","2.5867","0.2343"
"51.9400","2.5938","0.2343"
"52.0800","2.6006","0.2343"
"52.2200","2.6078","0.2346"
"52.3600","2.6147","0.2345"
"52.5000","2.6217","0.2344"
"52.6400","2.6288","0.2346"
"52.7800","2.6356","0.2345"
"52.9200","2.6428","0.2347"
"53.0600","2.6498","0.2349"
"53.2000","2.6566","0.2345"
"53.3400","2.6638","0.2347"
"53.4800","2.6707","0.2346"
"53.6200","2.6779","0.2349"
"53.7600","2.6848","0.2346"
"53.9000","2.6915","0.2344"
"54.0400","2.6987","0.2347"
"54.1800","2.7057","0.2348"
"54.3200","2.7128","0.2350"
"54.4600","2.7198","0.2347"
"54.6000","2.7266","0.2348"
"54.7400","2.7337","0.2349"
"54.8800","2.7408","0.2350"
"55.0200","2.7477","0.2347"
"55.1600","2.7547","0.2350"
"55.3000","2.7617","0.2347"
"55.4400","2.7688","0.2349"
"55.5800","2.7758","0.2350"
"55.7200","2.7826","0.2350"
"55.8600","2.7897","0.2349"
"56.0000","2.7967","0.2350"
"56.1400","2.8038","0.2350"
"56.2800","2.8108","0.2352"
"56.4200","2.8175","0.2349"
"56.5600","2.8248","0.2353"
"56.7000","2.8318","0.2353"
"56.8400","2.8388","0.2353"
"56.9800","2.8458","0.2354"
"57.1200","2.8526","0.2352"
"57.2600","2.8597","0.2352"
"57.4000","2.8667","0.2352"
"57.5400","2.8737","0.2353"
"57.6800","2.8808","0.2354"
"57.8200","2.8876","0.2352"
"57.9600","2.8947","0.2355"
"58.1000","2.9017","0.2354"
"58.2400","2.9087","0.2351"
"58.3800","2.9158","0.2356"
"58.5200","2.9226","0.2355"
"58.6600","2.9297","0.2356"
"58.8000","2.9367","0.2355"
"58.9400","2.9436","0.2355"
"59.0800","2.9508","0.2357"
"59.2200","2.9577","0.2355"
"59.3600","2.9648","0.2356"
"59.5000","2.9719","0.2359"
"59.6400","2.9786","0.2356"
"59.7800","2.9856","0.2360"
"59.9200","2.9927","0.2359"
"60.0600","2.9998","0.2358"
"60.2000","3.0068","0.2361"
"60.3400","3.0137","0.2360"
"60.4800","3.0207","0.2362"
"60.6200","3.0278","0.2362"
"60.7600","3.0347","0.2360"
"60.9000","3.0418","0.2362"
"61.0400","3.0486","0.2361"
"61.1800","3.0558","0.2361"
"61.3200","3.0628","0.2364"
"61.4600","3.0696","0.2361"
"61.6000","3.0767","0.2362"
"61.7400","3.0837","0.2364"
"61.8800","3.0908","0.2366"
"62.0200","3.0978","0.2363"
"62.1600","3.1045","0.2362"
"62.3000","3.1117","0.2364"
"62.4400","3.1187","0.2365"
"62.5800","3.1258","0.2366"
"62.7200","3.1328","0.2368"
"62.8600","3.1396","0.2365"
"63.0000","3.1468","0.2366"
"63.1400","3.1538","0.2369"
"63.2800","3.1608","0.2366"
"63.4200","3.1677","0.2368"
