Results Table 1
,Specimen number (included),Maximum Force
"4.2000","0.6905","7.4971"
"4.2500","0.6989","7.5506"
"4.3000","0.7072","7.5647"
"4.3500","0.7155","7.5712"
"4.4000","0.7238","7.6315"
"4.4500","0.7322","7.6546"
"4.5000","0.7405","7.6421"
"4.5500","0.7489","7.6990"
"4.6000","0.7572","7.7241"
"4.6500","0.7656","7.7491"
"4.7000","0.7738","7.7554"
"4.7500","0.7821","7.7520"
"4.8000","0.7905","7.8204"
"4.8500","0.7989","7.8567"
"4.9000","0.8073","7.8733"
"4.9500","0.8156","7.8758"
"5.0000","0.8239","7.9138"
"5.0500","0.8321","7.9138"
"5.1000","0.8404","7.9264"
"5.1500","0.8488","7.9260"
"5.2000","0.8572","7.9747"
"5.2500","0.8655","7.9974"
"5.3000","0.8739","8.0062"
"5.3500","0.8822","8.0153"
"5.4000","0.8905","8.0387"
"5.4500","0.8988","8.0390"
"5.5000","0.9072","8.0443"
"5.5500","0.9156","8.0852"
"5.6000","0.9238","8.0959"
"5.6500","0.9322","8.0958"
"5.7000","0.9405","8.1347"
"5.7500","0.9489","8.1391"
"5.8000","0.9572","8.1475"
"5.8500","0.9655","8.1849"
"5.9000","0.9739","8.2061"
"5.9500","0.9822","8.2066"
"6.0000","0.9906","8.2106"
"6.0500","0.9989","8.2159"
"6.1000","1.0072","8.2426"
"6.1500","1.0155","8.2466"
"6.2000","1.0238","8.2517"
"6.2500","1.0322","8.2676"
"6.3000","1.0406","8.2850"
"6.3500","1.0489","8.3062"
"6.4000","1.0573","8.3199"
"6.4500","1.0655","8.3209"
"6.5000","1.0738","8.3303"
"6.5500","1.0821","8.3712"
"6.6000","1.0906","8.3594"
"6.6500","1.0989","8.3843"
"6.7000","1.1072","8.4041"
"6.7500","1.1156","8.4227"
"6.8000","1.1239","8.4015"
"6.8500","1.1321","8.4106"
"6.9000","1.1405","8.4177"
"6.9500","1.1488","8.4393"
"7.0000","1.1572","8.4410"
"7.0500","1.1655","8.4812"
"7.1000","1.1739","8.4581"
"7.1500","1.1822","8.4818"
"7.2000","1.1905","8.4856"
"7.2500","1.1988","8.4912"
"7.3000","1.2071","8.4959"
"7.3500","1.2155","8.4974"
"7.4000","1.2239","8.5208"
"7.4500","1.2323","8.5004"
"7.5000","1.2406","8.5386"
"7.5500","1.2489","8.5456"
"7.6000","1.2571","8.5415"
"7.6500","1.2655","8.5772"
"7.7000","1.2739","8.5604"
"7.7500","1.2822","8.5573"
"7.8000","1.2906","8.5650"
"7.8500","1.2989","8.5769"
"7.9000","1.3072","8.6044"
"7.9500","1.3155","8.5836"
"8.0000","1.3238","8.5991"
"8.0500","1.3322","8.5947"
"8.1000","1.3405","8.5973"
"8.1500","1.3489","8.6356"
"8.2000","1.3572","8.6236"
"8.2500","1.3656","8.6471"
"8.3000","1.3738","8.6346"
"8.3500","1.3821","8.6708"
"8.4000","1.3905","8.6432"
"8.4500","1.3989","8.6503"
"8.5000","1.4072","8.6388"
"8.5500","1.4156","8.6800"
"8.6000","1.4239","8.6523"
"8.6500","1.4322","8.6779"
"8.7000","1.4405","8.6720"
"8.7500","1.4488","8.6616"
"8.8000","1.4573","8.6834"
"8.8500","1.4656","8.6878"
"8.9000","1.4739","8.7065"
"8.9500","1.4823","8.6843"
"9.0000","1.4906","8.6951"
"9.0500","1.4988","8.7232"
"9.1000","1.5071","8.7183"
"9.1500","1.5155","8.7080"
"9.2000","1.5239","8.7194"
"9.2500","1.5323","8.7438"
"9.3000","1.5406","8.7319"
"9.3500","1.5489","8.7475"
"9.4000","1.5571","8.7631"
"9.4500","1.5654","8.7574"
"9.5000","1.5739","8.7535"
"9.5500","1.5822","8.7618"
"9.6000","1.5905","8.7530"
"9.6500","1.5989","8.7711"
"9.7000","1.6072","8.7679"
"9.7500","1.6154","8.7748"
"9.8000","1.6238","8.8057"
"9.8500","1.6322","8.7780"
"9.9000","1.6405","8.7978"
"9.9500","1.6488","8.7880"
"10.0000","1.6572","8.8340"
"10.0500","1.6656","8.7993"
"10.1000","1.6738","8.8188"
"10.1500","1.6821","8.8165"
"10.2000","1.6905","8.8387"
"10.2500","1.6989","8.8240"
"10.3000","1.7072","8.8351"
"10.3500","1.7156","8.8271"
"10.4000","1.7239","8.8497"
"10.4500","1.7322","8.8286"
"10.5000","1.7405","8.8279"
"10.5500","1.7488","8.8420"
"10.6000","1.7572","8.8658"
"10.6500","1.7656","8.8520"
"10.7000","1.7739","8.8449"
"10.7500","1.7822","8.8644"
"10.8000","1.7905","8.8375"
"10.8500","1.7988","8.9047"
"10.9000","1.8071","8.8751"
"10.9500","1.8155","8.8850"
"11.0000","1.8239","8.8751"
"11.0500","1.8322","8.8951"
"11.1000","1.8405","8.8915"
"11.1500","1.8489","8.9195"
"11.2000","1.8571","8.8844"
"11.2500","1.8654","8.8935"
"11.3000","1.8738","8.9184"
"11.3500","1.8822","8.9128"
"11.4000","1.8906","8.9098"
"11.4500","1.8989","8.9121"
"11.5000","1.9072","8.9118"
"11.5500","1.9155","8.9142"
"11.6000","1.9238","8.9415"
"11.6500","1.9321","8.9408"
"11.7000","1.9406","8.9431"
"11.7500","1.9489","8.9624"
"11.8000","1.9572","8.9604"
"11.8500","1.9655","8.9541"
"11.9000","1.9739","8.9376"
"11.9500","1.9821","8.9520"
"12.0000","1.9905","8.9674"
"12.0500","1.9989","8.9588"
"12.1000","2.0072","8.9748"
"12.1500","2.0156","8.9525"
"12.2000","2.0239","8.9684"
"12.2500","2.0322","8.9574"
"12.3000","2.0405","8.9891"
"12.3500","2.0488","8.9866"
"12.4000","2.0572","8.9945"
"12.4500","2.0656","9.0081"
"12.5000","2.0739","8.9888"
"12.5500","2.0822","8.9801"
"12.6000","2.0905","9.0198"
"12.6500","2.0988","9.0332"
"12.7000","2.1071","9.0038"
"12.7500","2.1155","9.0371"
"12.8000","2.1239","9.0256"
"12.8500","2.1322","9.0196"
"12.9000","2.1405","9.0461"
"12.9500","2.1489","9.0416"
"13.0000","2.1572","9.0249"
"13.0500","2.1655","9.0152"
"13.1000","2.1738","9.0428"
"13.1500","2.1822","9.0509"
"13.2000","2.1905","9.0460"
"13.2500","2.1989","9.0557"
"13.3000","2.2073","9.0603"
"13.3500","2.2156","9.0857"
"13.4000","2.2238","9.0698"
"13.4500","2.2321","9.0666"
"13.5000","2.2405","9.0760"
"13.5500","2.2489","9.0952"
"13.6000","2.2573","9.0948"
"13.6500","2.2656","9.0911"
"13.7000","2.2739","9.0996"
"13.7500","2.2821","9.0882"
"13.8000","2.2905","9.1003"
"13.8500","2.2989","9.1073"
"13.9000","2.3072","9.0795"
"13.9500","2.3155","9.1093"
"14.0000","2.3239","9.1153"
"14.0500","2.3322","9.1061"
"14.1000","2.3405","9.1087"
"14.1500","2.3488","9.1122"
"14.2000","2.3572","9.1224"
"14.2500","2.3655","9.1026"
"14.3000","2.3739","9.0968"
"14.3500","2.3822","9.1017"
"14.4000","2.3906","9.1058"
"14.4500","2.3988","9.1145"
"14.5000","2.4071","9.1263"
"14.5500","2.4155","9.1313"
"14.6000","2.4239","9.1195"
"14.6500","2.4322","9.1327"
"14.7000","2.4406","9.1293"
"14.7500","2.4489","9.1272"
"14.8000","2.4572","9.1155"
"14.8500","2.4654","9.1182"
"14.9000","2.4738","9.1600"
"14.9500","2.4822","9.1623"
"15.0000","2.4906","9.1656"
"15.0500","2.4989","9.1685"
"15.1000","2.5072","9.1689"
"15.1500","2.5155","9.1879"
"15.2000","2.5238","9.1759"
"15.2500","2.5321","9.1761"
"15.3000","2.5405","9.1666"
"15.3500","2.5489","9.1775"
"15.4000","2.5572","9.1730"
"15.4500","2.5655","9.1759"
"15.5000","2.5739","9.1924"
"15.5500","2.5821","9.1902"
"15.6000","2.5904","9.1866"
"15.6500","2.5988","9.1969"
"15.7000","2.6072","9.1894"
"15.7500","2.6156","9.1671"
"15.8000","2.6239","9.2027"
"15.8500","2.6322","9.2151"
"15.9000","2.6405","9.1931"
"15.9500","2.6488","9.2295"
"16.0000","2.6572","9.2082"
"16.0500","2.6655","9.2255"
"16.1000","2.6739","9.2368"
"16.1500","2.6822","9.2430"
"16.2000","2.6906","9.2343"
"16.2500","2.6989","9.2434"
"16.3000","2.7071","9.2262"
"16.3500","2.7155","9.2350"
"16.4000","2.7239","9.2419"
"16.4500","2.7322","9.2466"
"16.5000","2.7406","9.2496"
"16.5500","2.7489","9.2527"
"16.6000","2.7572","9.2250"
"16.6500","2.7654","9.2741"
"16.7000","2.7738","9.2757"
"16.7500","2.7822","9.2639"
"16.8000","2.7906","9.2764"
"16.8500","2.7989","9.2624"
"16.9000","2.8072","9.3020"
"16.9500","2.8155","9.3026"
"17.0000","2.8238","9.2855"
"17.0500","2.8321","9.3003"
"17.1000","2.8405","9.2996"
"17.1500","2.8489","9.3111"
"17.2000","2.8572","9.2933"
"17.2500","2.8655","9.3091"
"17.3000","2.8739","9.3190"
"17.3500","2.8822","9.3189"
"17.4000","2.8904","9.3309"
"17.4500","2.8988","9.3231"
"17.5000","2.9072","9.3252"
"17.5500","2.9156","9.3542"
"17.6000","2.9239","9.3546"
"17.6500","2.9322","9.3422"
"17.7000","2.9405","9.3346"
"17.7500","2.9488","9.3496"
"17.8000","2.9572","9.3296"
"17.8500","2.9655","9.3601"
"17.9000","2.9739","9.3855"
"17.9500","2.9822","9.3458"
"18.0000","2.9905","9.3765"
"18.0500","2.9989","9.3508"
"18.1000","3.0071","9.3893"
"18.1500","3.0155","9.3885"
"18.2000","3.0239","9.3649"
"18.2500","3.0322","9.3847"
"18.3000","3.0406","9.3904"
"18.3500","3.0489","9.3690"
"18.4000","3.0572","9.4080"
"18.4500","3.0655","9.3873"
"18.5000","3.0738","9.4136"
"18.5500","3.0822","9.3814"
"18.6000","3.0905","9.4122"
"18.6500","3.0989","9.4052"
"18.7000","3.1072","9.3995"
"18.7500","3.1155","9.4161"
"18.8000","3.1239","9.4185"
"18.8500","3.1321","9.4370"
"18.9000","3.1404","9.4294"
"18.9500","3.1489","9.4056"
"19.0000","3.1572","9.4527"
"19.0500","3.1656","9.4551"
"19.1000","3.1739","9.4361"
"19.1500","3.1822","9.4484"
"19.2000","3.1905","9.4530"
"19.2500","3.1988","9.4618"
"19.3000","3.2072","9.4467"
"19.3500","3.2155","9.4747"
"19.4000","3.2239","9.4623"
"19.4500","3.2322","9.4820"
"19.5000","3.2405","9.4930"
"19.5500","3.2488","9.5085"
"19.6000","3.2572","9.4991"
"19.6500","3.2656","9.4870"
"19.7000","3.2739","9.4764"
"19.7500","3.2822","9.4805"
"19.8000","3.2906","9.5019"
"19.8500","3.2988","9.5142"
"19.9000","3.3071","9.5049"
"19.9500","3.3155","9.5335"
"20.0000","3.3238","9.5125"
"20.0500","3.3322","9.5154"
"20.1000","3.3405","9.5192"
"20.1500","3.3489","9.5399"
"20.2000","3.3572","9.5484"
"20.2500","3.3655","9.5361"
"20.3000","3.3738","9.5350"
"20.3500","3.3821","9.5648"
"20.4000","3.3905","9.5592"
"20.4500","3.3989","9.5478"
"20.5000","3.4072","9.5477"
"20.5500","3.4156","9.5669"
"20.6000","3.4238","9.5368"
"20.6500","3.4321","9.5695"
"20.7000","3.4405","9.5743"
"20.7500","3.4488","9.5722"
"20.8000","3.4572","9.5727"
"20.8500","3.4656","9.5736"
"20.9000","3.4739","9.6056"
"20.9500","3.4822","9.5887"
"21.0000","3.4905","9.5857"
"21.0500","3.4989","9.5835"
"21.1000","3.5072","9.5918"
"21.1500","3.5155","9.5999"
"21.2000","3.5239","9.6082"
"21.2500","3.5322","9.6082"
"21.3000","3.5405","9.5835"
"21.3500","3.5488","9.5813"
"21.4000","3.5572","9.6072"
"21.4500","3.5655","9.5934"
"21.5000","3.5738","9.6057"
"21.5500","3.5822","9.6054"
"21.6000","3.5905","9.6339"
"21.6500","3.5988","9.6347"
"21.7000","3.6071","9.6121"
"21.7500","3.6154","9.6067"
"21.8000","3.6238","9.6385"
"21.8500","3.6322","9.6231"
"21.9000","3.6406","9.6282"
"21.9500","3.6489","9.6396"
"22.0000","3.6572","9.6261"
"22.0500","3.6655","9.6304"
"22.1000","3.6738","9.6346"
"22.1500","3.6822","9.6498"
"22.2000","3.6905","9.6522"
"22.2500","3.6989","9.6659"
"22.3000","3.7073","9.6452"
"22.3500","3.7156","9.6708"
"22.4000","3.7238","9.6766"
"22.4500","3.7321","9.6614"
"22.5000","3.7405","9.6724"
"22.5500","3.7489","9.6669"
"22.6000","3.7572","9.6575"
"22.6500","3.7656","9.6690"
"22.7000","3.7739","9.6668"
"22.7500","3.7821","9.6715"
"22.8000","3.7904","9.6549"
"22.8500","3.7988","9.6507"
"22.9000","3.8072","9.6810"
"22.9500","3.8155","9.6579"
"23.0000","3.8239","9.6764"
"23.0500","3.8322","9.6752"
"23.1000","3.8405","9.6870"
"23.1500","3.8488","9.6976"
"23.2000","3.8571","9.6693"
"23.2500","3.8655","9.6699"
"23.3000","3.8739","9.6739"
"23.3500","3.8822","9.6896"
"23.4000","3.8906","9.6813"
"23.4500","3.8989","9.6787"
"23.5000","3.9072","9.7017"
"23.5500","3.9154","9.6744"
"23.6000","3.9238","9.6761"
"23.6500","3.9322","9.7015"
"23.7000","3.9406","9.6953"
"23.7500","3.9490","9.6835"
"23.8000","3.9572","9.7025"
"23.8500","3.9655","9.6998"
"23.9000","3.9738","9.6960"
"23.9500","3.9822","9.6976"
"24.0000","3.9906","9.7196"
"24.0500","3.9989","9.7282"
"24.1000","4.0072","9.6943"
"24.1500","4.0155","9.7058"
"24.2000","4.0238","9.6830"
"24.2500","4.0321","9.7206"
"24.3000","4.0405","9.7049"
"24.3500","4.0489","9.7024"
"24.4000","4.0572","9.6963"
"24.4500","4.0655","9.6981"
"24.5000","4.0739","9.6702"
"24.5500","4.0822","9.6893"
"24.6000","4.0904","9.6734"
"24.6500","4.0988","9.6508"
"24.7000","4.1072","9.6627"
"24.7500","4.1155","9.6752"
"24.8000","4.1239","9.7075"
"24.8500","4.1323","9.6637"
"24.9000","4.1406","9.6703"
"24.9500","4.1488","9.6708"
"25.0000","4.1571","9.6701"
"25.0500","4.1656","9.6850"
"25.1000","4.1739","9.6666"
"25.1500","4.1822","9.6901"
"25.2000","4.1906","9.6852"
"25.2500","4.1989","9.6935"
"25.3000","4.2071","9.7009"
"25.3500","4.2155","9.7195"
"25.4000","4.2239","9.6805"
"25.4500","4.2322","9.6814"
"25.5000","4.2405","9.6855"
"25.5500","4.2489","9.6830"
"25.6000","4.2572","9.6750"
"25.6500","4.2655","9.6861"
"25.7000","4.2738","9.6704"
"25.7500","4.2821","9.6877"
"25.8000","4.2905","9.6583"
"25.8500","4.2988","9.6752"
"25.9000","4.3072","9.6809"
"25.9500","4.3156","9.6773"
"26.0000","4.3239","9.6808"
"26.0500","4.3321","9.6685"
"26.1000","4.3405","9.6803"
"26.1500","4.3489","9.6754"
"26.2000","4.3572","9.6883"
"26.2500","4.3656","9.6891"
"26.3000","4.3739","9.6696"
"26.3500","4.3822","9.6873"
"26.4000","4.3905","9.6885"
"26.4500","4.3988","9.6799"
"26.5000","4.4072","9.6806"
"26.5500","4.4155","9.7159"
"26.6000","4.4239","9.6939"
"26.6500","4.4322","9.6986"
"26.7000","4.4406","9.7048"
"26.7500","4.4488","9.6992"
"26.8000","4.4571","9.6845"
"26.8500","4.4655","9.6928"
"26.9000","4.4739","9.7055"
"26.9500","4.4822","9.6847"
"27.0000","4.4906","9.6741"
"27.0500","4.4989","9.6798"
"27.1000","4.5071","9.6841"
"27.1500","4.5154","9.6708"
"27.2000","4.5238","9.6881"
"27.2500","4.5322","9.6939"
"27.3000","4.5405","9.6986"
"27.3500","4.5489","9.6937"
"27.4000","4.5572","9.6675"
"27.4500","4.5655","9.6865"
"27.5000","4.5738","9.6477"
"27.5500","4.5821","9.6271"
"27.6000","4.5905","9.6007"
"27.6500","4.5989","9.6154"
"27.7000","4.6072","9.6176"
"27.7500","4.6156","9.6271"
"27.8000","4.6239","9.6342"
"27.8500","4.6321","9.6221"
"27.9000","4.6405","9.6210"
"27.9500","4.6489","9.6423"
"28.0000","4.6572","9.6211"
"28.0500","4.6656","9.6258"
"28.1000","4.6740","9.6436"
"28.1500","4.6822","9.6143"
"28.2000","4.6905","9.5970"
"28.2500","4.6988","9.6158"
"28.3000","4.7072","9.6263"
"28.3500","4.7156","9.6147"
"28.4000","4.7238","9.6177"
"28.4500","4.7322","9.6063"
"28.5000","4.7405","9.6262"
"28.5500","4.7488","9.6344"
"28.6000","4.7571","9.6033"
"28.6500","4.7655","9.6085"
"28.7000","4.7739","9.6047"
"28.7500","4.7822","9.5956"
"28.8000","4.7906","9.6149"
"28.8500","4.7989","9.5971"
"28.9000","4.8072","9.5540"
"28.9500","4.8154","9.5361"
"29.0000","4.8238","9.5290"
"29.0500","4.8322","9.5577"
"29.1000","4.8406","9.5441"
"29.1500","4.8489","9.5301"
"29.2000","4.8572","9.4867"
"29.2500","4.8656","9.5061"
"29.3000","4.8738","9.4626"
"29.3500","4.8821","9.4634"
"29.4000","4.8905","9.4403"
"29.4500","4.8989","9.4078"
"29.5000","4.9072","9.4049"
"29.5500","4.9156","9.3891"
"29.6000","4.9239","9.3633"
"29.6500","4.9321","9.3714"
"29.7000","4.9405","9.3429"
"29.7500","4.9489","9.3254"
"29.8000","4.9572","9.3218"
"29.8500","4.9655","9.3247"
"29.9000","4.9739","9.3370"
"29.9500","4.9822","9.3230"
"30.0000","4.9904","9.3357"
"30.0500","4.9987","9.3141"
"30.1000","5.0072","9.2991"
"30.1500","5.0155","9.3110"
"30.2000","5.0238","9.2990"
"30.2500","5.0322","9.2951"
"30.3000","5.0406","9.2877"
"30.3500","5.0488","9.2924"
"30.4000","5.0571","9.2997"
"30.4500","5.0655","9.2801"
"30.5000","5.0739","9.2838"
"30.5500","5.0822","9.2811"
"30.6000","5.0906","9.2844"
"30.6500","5.0989","9.2706"
"30.7000","5.1073","9.2986"
"30.7500","5.1155","9.2727"
"30.8000","5.1238","9.2901"
"30.8500","5.1322","9.2826"
"30.9000","5.1406","9.2880"
"30.9500","5.1489","9.2852"
"31.0000","5.1572","9.2610"
"31.0500","5.1656","9.2733"
"31.1000","5.1738","9.2902"
"31.1500","5.1821","9.2574"
"31.2000","5.1905","9.2533"
"31.2500","5.1989","9.2591"
"31.3000","5.2072","9.2539"
"31.3500","5.2156","9.2576"
"31.4000","5.2239","9.2469"
"31.4500","5.2321","9.2588"
"31.5000","5.2404","9.2649"
"31.5500","5.2489","9.2549"
"31.6000","5.2572","9.2433"
"31.6500","5.2655","9.2446"
"31.7000","5.2739","9.2297"
"31.7500","5.2822","9.2229"
"31.8000","5.2905","9.2167"
"31.8500","5.2988","9.2348"
"31.9000","5.3072","9.1759"
"31.9500","5.3156","9.1883"
"32.0000","5.3239","9.1487"
"32.0500","5.3322","9.1455"
"32.1000","5.3406","9.1363"
"32.1500","5.3489","9.1120"
"32.2000","5.3571","9.1053"
"32.2500","5.3655","9.0987"
"32.3000","5.3739","9.0932"
"32.3500","5.3822","9.0715"
"32.4000","5.3906","9.0765"
"32.4500","5.3989","9.0734"
"32.5000","5.4072","9.0669"
"32.5500","5.4155","9.0406"
"32.6000","5.4238","8.9667"
"32.6500","5.4322","8.9190"
"32.7000","5.4405","8.9152"
"32.7500","5.4489","8.9060"
"32.8000","5.4572","8.9070"
"32.8500","5.4656","8.8840"
"32.9000","5.4738","8.8871"
"32.9500","5.4821","8.8367"
"33.0000","5.4905","8.8393"
"33.0500","5.4989","8.8344"
"33.1000","5.5072","8.8062"
"33.1500","5.5156","8.7990"
"33.2000","5.5239","8.7657"
"33.2500","5.5322","8.7370"
"33.3000","5.5404","8.7152"
"33.3500","5.5489","8.6798"
"33.4000","5.5572","8.6475"
"33.4500","5.5656","8.6160"
"33.5000","5.5739","8.5834"
"33.5500","5.5822","8.5109"
"33.6000","5.5906","8.5018"
"33.6500","5.5988","8.4644"
"33.7000","5.6071","8.4625"
"33.7500","5.6155","8.4337"
"33.8000","5.6239","8.4242"
"33.8500","5.6323","8.4284"
"33.9000","5.6406","8.3800"
"33.9500","5.6489","8.3444"
"34.0000","5.6571","8.3306"
"34.0500","5.6655","8.3384"
"34.1000","5.6738","8.2995"
"34.1500","5.6822","8.2871"
"34.2000","5.6906","8.2605"
"34.2500","5.6989","8.2341"
"34.3000","5.7072","8.2530"
"34.3500","5.7155","8.2256"
"34.4000","5.7238","8.1955"
"34.4500","5.7322","8.1857"
"34.5000","5.7406","8.1775"
"34.5500","5.7488","8.1987"
"34.6000","5.7572","8.1953"
"34.6500","5.7655","8.1879"
"34.7000","5.7738","8.1551"
"34.7500","5.7821","8.1758"
"34.8000","5.7905","8.1602"
"34.8500","5.7988","8.1604"
"34.9000","5.8072","8.1482"
"34.9500","5.8156","8.1585"
"35.0000","5.8239","8.1439"
"35.0500","5.8322","8.1186"
"35.1000","5.8405","8.1417"
"35.1500","5.8488","8.1273"
"35.2000","5.8572","8.0983"
"35.2500","5.8656","8.0945"
"35.3000","5.8739","8.1270"
"35.3500","5.8822","8.1003"
"35.4000","5.8905","8.0806"
"35.4500","5.8988","8.0874"
"35.5000","5.9072","8.0622"
"35.5500","5.9155","8.0609"
"35.6000","5.9239","8.0781"
"35.6500","5.9322","8.0473"
"35.7000","5.9405","7.9902"
"35.7500","5.9488","7.9605"
"35.8000","5.9572","7.9106"
"35.8500","5.9655","7.8920"
"35.9000","5.9738","7.8909"
"35.9500","5.9822","7.8714"
"36.0000","5.9905","7.8449"
"36.0500","5.9989","7.8394"
"36.1000","6.0072","7.8305"
"36.1500","6.0155","7.8244"
"36.2000","6.0238","7.8295"
"36.2500","6.0321","7.8243"
"36.3000","6.0405","7.8189"
"36.3500","6.0489","7.8238"
"36.4000","6.0572","7.8345"
"36.4500","6.0655","7.8300"
"36.5000","6.0738","7.8219"
"36.5500","6.0821","7.8273"
"36.6000","6.0905","7.7981"
"36.6500","6.0989","7.8048"
"36.7000","6.1072","7.7855"
"36.7500","6.1156","7.8002"
"36.8000","6.1239","7.7965"
"36.8500","6.1322","7.7763"
"36.9000","6.1404","7.8021"
"36.9500","6.1488","7.7922"
"37.0000","6.1572","7.7699"
"37.0500","6.1655","7.6637"
"37.1000","6.1739","7.6521"
"37.1500","6.1822","7.6205"
"37.2000","6.1905","7.6225"
"37.2500","6.1988","7.6165"
"37.3000","6.2072","7.6052"
"37.3500","6.2155","7.5883"
"37.4000","6.2239","7.5865"
"37.4500","6.2322","7.5808"
"37.5000","6.2406","7.5688"
"37.5500","6.2489","7.5610"
"37.6000","6.2572","7.5585"
"37.6500","6.2655","7.5726"
"37.7000","6.2738","7.5588"
"37.7500","6.2822","7.5772"
"37.8000","6.2906","7.5753"
"37.8500","6.2989","7.5496"
"37.9000","6.3072","7.5243"
"37.9500","6.3156","7.5489"
"38.0000","6.3238","7.5451"
"38.0500","6.3321","7.5359"
"38.1000","6.3405","7.5054"
"38.1500","6.3489","7.4983"
"38.2000","6.3573","7.4685"
"38.2500","6.3656","7.4316"
"38.3000","6.3738","7.4466"
"38.3500","6.3821","7.4528"
"38.4000","6.3905","7.4464"
"38.4500","6.3989","7.4208"
"38.5000","6.4072","7.4467"
"38.5500","6.4156","7.4241"
"38.6000","6.4239","7.4262"
"38.6500","6.4322","7.3988"
"38.7000","6.4404","7.3888"
"38.7500","6.4488","7.4105"
"38.8000","6.4572","7.4133"
"38.8500","6.4655","7.3813"
"38.9000","6.4739","7.3507"
"38.9500","6.4822","7.3705"
"39.0000","6.4906","7.3253"
"39.0500","6.4988","7.3191"
"39.1000","6.5071","7.3084"
"39.1500","6.5155","7.2964"
"39.2000","6.5239","7.2613"
"39.2500","6.5322","7.2339"
"39.3000","6.5406","7.2157"
"39.3500","6.5489","7.2099"
"39.4000","6.5572","7.1794"
"39.4500","6.5654","7.1370"
"39.5000","6.5738","7.1579"
"39.5500","6.5822","7.1181"
"39.6000","6.5905","7.1035"
"39.6500","6.5989","7.0865"
"39.7000","6.6072","7.0782"
"39.7500","6.6155","7.0791"
"39.8000","6.6238","7.0169"
"39.8500","6.6322","7.0030"
"39.9000","6.6405","6.9437"
"39.9500","6.6488","6.9293"
"40.0000","6.6572","6.9181"
"40.0500","6.6656","6.9114"
"40.1000","6.6738","6.9052"
"40.1500","6.6821","6.8865"
"40.2000","6.6905","6.8787"
"40.2500","6.6989","6.8645"
"40.3000","6.7072","6.8429"
"40.3500","6.7156","6.8235"
"40.4000","6.7239","6.7556"
"40.4500","6.7322","6.7520"
"40.5000","6.7405","6.7477"
"40.5500","6.7488","6.7202"
"40.6000","6.7572","6.6838"
"40.6500","6.7655","6.6418"
"40.7000","6.7739","6.6324"
"40.7500","6.7822","6.6266"
"40.8000","6.7905","6.6266"
